folioviv,foliohog,ubica_geo,tam_loc,factor,clase_hog,sexo_jefe,edad_jefe,educa_jefe,tot_integ,ing_cor
0100465005,1,01001,1,187,2,2,83,04,2,37957.24999999999
0100465006,1,01001,1,187,2,2,57,06,4,46732.46
0100471602,1,01001,1,173,2,1,41,10,4,43131.14
0100471603,1,01001,1,173,3,1,65,04,5,24245.89
0100471604,1,01001,1,173,3,1,67,06,4,39983.6
0100471605,1,01001,1,173,2,1,64,06,2,34057.36
0100471606,1,01001,1,173,2,2,59,06,2,43219.65
0100474801,1,01001,1,169,2,1,37,10,4,118110.36
0100474802,1,01001,1,169,2,1,79,05,2,18694.27
0100474802,2,01001,1,169,2,1,45,06,4,37550.78
0100474803,1,01001,1,169,2,1,76,03,4,51016.77
0100474804,1,01001,1,169,3,1,76,08,5,55532.72
0100474805,1,01001,1,169,2,1,53,04,2,33132.73
0100474806,1,01001,1,169,2,1,52,05,4,51068.84
0100489701,1,01001,1,172,3,1,43,06,7,57147.51
0100489703,1,01001,1,172,1,2,37,10,1,125551.73
0100489704,1,01001,1,172,2,1,34,10,3,34991.78
0100489705,1,01001,1,172,2,1,52,06,5,141152.61
0100489706,1,01001,1,172,1,1,61,10,1,38142.84
0100502402,1,01001,1,226,2,1,39,11,4,226735.6
0100502403,1,01001,1,226,2,1,62,11,2,203841.15
0100502404,1,01001,1,226,3,1,59,10,6,242425.61
0100502406,1,01001,1,226,2,1,60,11,4,240909.75
0100504001,1,01001,1,210,2,1,50,10,3,76336.69
0100504002,1,01001,1,210,2,1,62,06,3,53358.21999999999
0100504003,1,01001,1,210,2,1,55,10,4,153018.39
0100504006,1,01001,1,210,2,1,60,11,4,166062.68
0100524201,1,01001,1,186,2,1,49,06,5,27057.72
0100524202,1,01001,1,186,3,1,28,06,5,40462.69
0100524203,1,01001,1,186,2,1,40,05,5,29834.25
0100524204,1,01001,1,186,3,1,57,05,4,30362.82
0100524205,1,01001,1,186,2,1,54,06,6,75723.59999999999
0100524206,1,01001,1,186,2,2,41,07,6,26746.55
0100530501,1,01001,1,181,3,1,54,06,6,64915.05
0100530502,1,01001,1,181,2,1,52,07,3,32072.74
0100530503,1,01001,1,181,2,1,55,06,2,42286.77
0100530504,1,01001,1,181,3,1,68,08,4,102638.47
0100530506,1,01001,1,181,2,1,63,03,3,33879.02
0100534301,1,01001,1,196,2,1,51,06,3,46112.34
0100534303,1,01001,1,196,2,1,34,09,2,33070.06
0100534304,1,01001,1,196,2,2,29,10,2,87554.32000000001
0100534305,1,01001,1,196,3,2,70,11,6,70371.66
0100534306,1,01001,1,196,2,2,51,08,3,61313.39000000001
0100540901,1,01001,1,179,2,1,31,10,2,81136.36000000002
0100540903,1,01001,1,179,3,1,48,06,5,79875.73000000001
0100540905,1,01001,1,179,2,1,73,03,2,33901.57
0100540906,1,01001,1,179,2,1,53,08,4,30401.01
0100552402,1,01001,1,147,3,2,61,04,8,52710.09
0100552403,1,01001,1,147,2,1,26,10,3,134612.85
0100552404,1,01001,1,147,2,1,23,05,5,22128.28
0100552405,1,01001,1,147,2,1,16,04,3,27403.15
0100552406,1,01001,1,147,2,2,50,04,5,22010.85
0100555001,1,01001,1,170,3,2,59,06,5,61583.06
0100555003,1,01001,1,170,3,1,58,04,11,38838.52
0100555004,1,01001,1,170,2,1,26,08,6,45492.27
0100555005,1,01001,1,170,2,1,37,05,3,40474.74
0100555006,1,01001,1,170,2,1,65,04,3,37517.86
0100555006,2,01001,1,170,2,1,35,06,5,21497.26
0100568801,1,01001,1,189,2,1,21,08,3,45172.03999999999
0100568802,1,01001,1,189,2,1,61,08,3,48031.02
0100568803,1,01001,1,189,2,1,58,04,2,24390.1
0100568804,1,01001,1,189,3,2,42,08,4,82524.55
0100568805,1,01001,1,189,2,1,60,06,4,42596.93000000001
0100568806,1,01001,1,189,2,1,39,07,2,60449.49
0100569401,1,01001,1,177,2,2,64,03,3,63788.65000000001
0100569402,1,01001,1,177,2,1,27,06,3,28748.32
0100569403,1,01001,1,177,4,1,74,03,4,35660.14
0100569404,1,01001,1,177,2,1,34,08,4,30647.48
0100569405,1,01001,1,177,2,2,32,04,5,18205.41
0100569406,1,01001,1,177,2,1,43,07,4,22220.49
0100578002,1,01001,1,144,3,1,51,09,6,67813.92999999999
0100578003,1,01001,1,144,2,1,38,04,5,13657.71
0100578004,1,01001,1,144,2,1,61,07,4,94173.10999999999
0100578005,1,01001,1,144,2,1,26,10,2,103327.99
0100578006,1,01001,1,144,2,1,37,08,4,73369.54999999999
0100579602,1,01001,1,172,3,2,34,08,4,48978.85
0100579603,1,01001,1,172,3,1,63,04,6,64596.28000000001
0100579604,1,01001,1,172,1,2,30,11,1,263114.75
0100579605,1,01001,1,172,2,2,35,10,3,53437.21999999999
0100579606,1,01001,1,172,1,2,71,04,1,25627.29
0100590701,1,01001,1,193,3,2,71,06,4,60681.22
0100590702,1,01001,1,193,1,1,26,10,1,63090.64
0100590703,1,01001,1,193,2,1,66,10,5,108435.33
0100590704,1,01001,1,193,2,1,74,10,2,125325.24
0100590705,1,01001,1,193,2,1,58,08,6,58057.34
0100592203,1,01001,1,186,2,2,44,06,3,49474.83
0100592204,1,01001,1,186,2,1,52,10,5,163177.07
0100592205,1,01001,1,186,2,1,58,09,3,134748.12
0100592206,1,01001,1,186,3,2,28,10,2,33081.3
0100595601,1,01001,1,186,2,1,57,08,4,59852.45
0100595602,1,01001,1,186,3,1,27,08,6,58968.23999999999
0100595604,1,01001,1,186,2,1,26,08,5,22711.65
0100595605,1,01001,1,186,2,1,31,06,4,23877.04
0100595606,1,01001,1,186,3,2,51,06,4,51683.14
0100613601,1,01001,1,206,2,1,43,10,4,47230.79
0100613602,1,01001,1,206,3,1,69,10,4,192202.94
0100613603,1,01001,1,206,3,1,56,10,2,44260.13000000001
0100613604,1,01001,1,206,2,1,70,10,3,67218.03
0100613605,1,01001,1,206,2,2,70,10,2,101286.84
0100620701,1,01001,1,203,2,2,43,08,2,161241.89
0100620704,1,01001,1,203,2,1,77,06,3,109730.48
0100620705,1,01001,1,203,2,1,61,10,2,127040.67
0100620706,1,01001,1,203,3,1,68,11,4,136110.74
0100621201,1,01001,1,216,3,1,69,06,5,62785.85
0100621202,1,01001,1,216,2,1,35,10,4,50121.53999999999
0100621203,1,01001,1,216,2,1,60,07,5,125275.2
0100621205,1,01001,1,216,2,1,42,08,4,60132.09
0100628501,1,01001,1,192,3,2,56,04,6,80301.42999999999
0100628502,1,01001,1,192,1,2,67,06,1,28218.44
0100628503,1,01001,1,192,5,2,22,09,2,26951.12
0100628504,1,01001,1,192,2,1,53,06,5,78401.06
0100628505,1,01001,1,192,2,1,40,07,6,19729.51
0100628506,1,01001,1,192,2,1,34,07,5,41394.36
0100638301,1,01001,1,181,2,1,60,10,3,66131.98999999999
0100638302,1,01001,1,181,2,1,52,06,3,13926.01
0100638305,1,01001,1,181,1,2,30,08,1,61826.08
